seq,owner_id,owner_login,repo_id,repo_name,creator_user_id,creator_user_login,recipient_user_id,recipient_user_login,type,created_at,source_context_url
1,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,code,2020-07-27T17:59:09Z,https://github.com/iluwatar/java-design-patterns/pull/1343
2,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,projectmanagement,2020-07-27T18:13:14Z,https://github.com/iluwatar/java-design-patterns/pull/1344
3,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,23420222,amit1307,code,2020-07-27T18:17:53Z,https://github.com/iluwatar/java-design-patterns/pull/1345
4,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,maintenance,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
5,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,blog,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
6,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,content,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
7,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,doc,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
8,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,ideas,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
9,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,infra,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
10,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,review,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
11,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,582346,iluwatar,projectmanagement,2020-07-27T19:38:07Z,https://github.com/iluwatar/java-design-patterns/commit/02b6aba6ae25aae1c23823c0b458782d859f1e04
12,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1792515,npathai,code,2020-07-27T19:40:21Z,https://github.com/iluwatar/java-design-patterns/pull/1347
13,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1792515,npathai,ideas,2020-07-27T19:40:21Z,https://github.com/iluwatar/java-design-patterns/pull/1347
14,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1792515,npathai,maintenance,2020-07-27T19:40:21Z,https://github.com/iluwatar/java-design-patterns/pull/1347
15,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1792515,npathai,question,2020-07-27T19:40:21Z,https://github.com/iluwatar/java-design-patterns/pull/1347
16,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1792515,npathai,review,2020-07-27T19:40:21Z,https://github.com/iluwatar/java-design-patterns/pull/1347
17,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1545460,fluxw42,code,2020-07-27T19:48:16Z,https://github.com/iluwatar/java-design-patterns/pull/1348
18,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,4526195,mikulucky,code,2020-07-27T20:14:35Z,https://github.com/iluwatar/java-design-patterns/pull/1349
19,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22516154,thomasoss,code,2020-07-27T20:18:03Z,https://github.com/iluwatar/java-design-patterns/pull/1350
20,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6075379,anuragagarwal561994,code,2020-07-27T20:20:45Z,https://github.com/iluwatar/java-design-patterns/pull/1351
21,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3317416,markusmo3,design,2020-07-28T14:26:04Z,https://github.com/iluwatar/java-design-patterns/pull/1352
22,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3317416,markusmo3,code,2020-07-28T14:26:04Z,https://github.com/iluwatar/java-design-patterns/pull/1352
23,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3317416,markusmo3,ideas,2020-07-28T14:26:04Z,https://github.com/iluwatar/java-design-patterns/pull/1352
24,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,19510920,isabiq,code,2020-07-28T14:28:35Z,https://github.com/iluwatar/java-design-patterns/pull/1353
25,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,5253764,inbravo,code,2020-07-28T14:30:43Z,https://github.com/iluwatar/java-design-patterns/pull/1354
26,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10268029,piyushchaudhari04,code,2020-07-28T14:32:58Z,https://github.com/iluwatar/java-design-patterns/pull/1355
27,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,8704552,joshzambales,code,2020-07-28T14:35:50Z,https://github.com/iluwatar/java-design-patterns/pull/1356
28,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7272996,crossy147,code,2020-07-28T14:37:57Z,https://github.com/iluwatar/java-design-patterns/pull/1357
29,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,660742,zafarella,code,2020-07-28T14:40:29Z,https://github.com/iluwatar/java-design-patterns/pull/1358
30,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,660742,zafarella,doc,2020-07-28T14:40:29Z,https://github.com/iluwatar/java-design-patterns/pull/1358
31,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1147749,kemitix,code,2020-07-28T14:42:28Z,https://github.com/iluwatar/java-design-patterns/pull/1359
32,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22822639,argyro-sioziou,code,2020-07-28T14:44:47Z,https://github.com/iluwatar/java-design-patterns/pull/1360
33,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,4946449,tylermcconville,code,2020-07-28T14:46:42Z,https://github.com/iluwatar/java-design-patterns/pull/1361
34,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,37399540,saksham93,code,2020-07-28T14:48:51Z,https://github.com/iluwatar/java-design-patterns/pull/1362
35,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,37332144,nikhilbarar,code,2020-07-28T14:50:39Z,https://github.com/iluwatar/java-design-patterns/pull/1363
36,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10725674,colinbut,code,2020-07-28T14:52:40Z,https://github.com/iluwatar/java-design-patterns/pull/1364
37,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1503411,ruslanpa,code,2020-07-28T14:55:48Z,https://github.com/iluwatar/java-design-patterns/pull/1365
38,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,4745294,juhokang,code,2020-07-28T14:57:26Z,https://github.com/iluwatar/java-design-patterns/pull/1366
39,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7002230,dheeraj-mummareddy,code,2020-07-28T15:02:50Z,https://github.com/iluwatar/java-design-patterns/pull/1367
40,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,8271090,bernardosulzbach,code,2020-07-28T15:08:02Z,https://github.com/iluwatar/java-design-patterns/pull/1368
41,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,19871727,4lexis,code,2020-07-28T15:09:44Z,https://github.com/iluwatar/java-design-patterns/pull/1369
42,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1049483,yusufaytas,code,2020-07-28T15:11:30Z,https://github.com/iluwatar/java-design-patterns/pull/1370
43,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1001491,qpi,code,2020-07-28T15:13:03Z,https://github.com/iluwatar/java-design-patterns/pull/1371
44,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,17639945,kapinuss,code,2020-07-28T15:14:38Z,https://github.com/iluwatar/java-design-patterns/pull/1372
45,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6648152,gvsharma,code,2020-07-28T15:16:15Z,https://github.com/iluwatar/java-design-patterns/pull/1373
46,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22815104,srdjanpaunovic,code,2020-07-28T15:17:43Z,https://github.com/iluwatar/java-design-patterns/pull/1374
47,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,5484694,sideris,code,2020-07-28T15:52:32Z,https://github.com/iluwatar/java-design-patterns/pull/1375
48,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,9137432,robertt240,code,2020-07-28T17:23:31Z,https://github.com/iluwatar/java-design-patterns/pull/1376
49,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,20372387,okinskas,code,2020-07-28T17:33:06Z,https://github.com/iluwatar/java-design-patterns/pull/1377
50,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,2236616,ankurkaushal,code,2020-07-28T17:37:12Z,https://github.com/iluwatar/java-design-patterns/pull/1378
51,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,20662669,tschis,content,2020-07-28T17:40:11Z,https://github.com/iluwatar/java-design-patterns/pull/1379
52,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,233149,qza,code,2020-07-28T17:43:10Z,https://github.com/iluwatar/java-design-patterns/pull/1380
53,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6773603,pitsios-s,code,2020-07-28T17:45:59Z,https://github.com/iluwatar/java-design-patterns/pull/1381
54,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,2404785,llitfkitfk,content,2020-07-29T14:36:33Z,https://github.com/iluwatar/java-design-patterns/pull/1382
55,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,16000365,gwildor28,content,2020-07-29T14:39:12Z,https://github.com/iluwatar/java-design-patterns/pull/1383
56,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7566692,amit2103,code,2020-07-29T14:41:36Z,https://github.com/iluwatar/java-design-patterns/pull/1384
57,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3689445,hoswey,code,2020-07-29T14:44:06Z,https://github.com/iluwatar/java-design-patterns/pull/1385
58,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10210778,gopinath-langote,code,2020-07-29T14:47:06Z,https://github.com/iluwatar/java-design-patterns/pull/1386
59,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,24470582,thatguywiththehat,content,2020-07-29T14:49:00Z,https://github.com/iluwatar/java-design-patterns/pull/1387
60,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3133265,vehpsr,code,2020-07-29T14:50:54Z,https://github.com/iluwatar/java-design-patterns/pull/1389
61,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,18476317,azureyjt,code,2020-07-29T14:53:30Z,https://github.com/iluwatar/java-design-patterns/pull/1388
62,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,8975264,mookkiah,code,2020-07-29T14:55:54Z,https://github.com/iluwatar/java-design-patterns/pull/1390
63,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,2019896,llorllale,code,2020-07-29T14:58:01Z,https://github.com/iluwatar/java-design-patterns/pull/1391
64,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,12736734,igeligel,code,2020-07-29T15:00:07Z,https://github.com/iluwatar/java-design-patterns/pull/1392
65,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7418012,hbothra15,code,2020-07-29T15:02:14Z,https://github.com/iluwatar/java-design-patterns/pull/1393
66,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22855493,giorgosmav21,code,2020-07-29T15:05:23Z,https://github.com/iluwatar/java-design-patterns/pull/1394
67,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1112973,oconnelc,code,2020-07-29T15:07:16Z,https://github.com/iluwatar/java-design-patterns/pull/1395
68,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,14066422,npczwh,code,2020-07-29T15:09:00Z,https://github.com/iluwatar/java-design-patterns/pull/1396
69,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1211969,leogtzr,code,2020-07-29T15:11:09Z,https://github.com/iluwatar/java-design-patterns/pull/1397
